Internal Policy Section,UAE IA - Control (Reference),ISO 27001:2022 Mapping,Compliance Status,Evidence Text,Mapping Date
Section INTRODUCTION,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section PURPOSE,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section Establish asset register: Development and maintenance of an asset register.,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section SCOPE,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section STATEMENT,Not Mapped,Not Mapped,Not Addressed,,2026-01-23
Section Asset Inventory,T1.2.1,A.5.23,Fully Addressed,"<CLIENT> shall: Identify assets relevant in the information lifecycle (creation, processing, storage, transmission, deletion, destruction, and protection) and document their importance. Ensure that al",2026-01-23
Section Asset Inventory,T1.2.1,A.5.9,Fully Addressed,"<CLIENT> shall: Identify assets relevant in the information lifecycle (creation, processing, storage, transmission, deletion, destruction, and protection) and document their importance. Ensure that al",2026-01-23
Section Asset Inventory,T1.2.2,A.5.23,Fully Addressed,"<CLIENT> shall: Identify assets relevant in the information lifecycle (creation, processing, storage, transmission, deletion, destruction, and protection) and document their importance. Ensure that al",2026-01-23
Section Asset Inventory,T1.2.2,A.5.9,Fully Addressed,"<CLIENT> shall: Identify assets relevant in the information lifecycle (creation, processing, storage, transmission, deletion, destruction, and protection) and document their importance. Ensure that al",2026-01-23
Section Asset Ownership,T1.2.2,A.5.15,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T1.2.2,A.5.16,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T1.2.2,A.5.17,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T1.2.2,A.5.9,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.1.1,A.5.15,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.1.1,A.5.16,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.1.1,A.5.17,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.1.1,A.5.9,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.2.1,A.5.15,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.2.1,A.5.16,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
Section Asset Ownership,T5.2.1,A.5.17,Fully Addressed,<CLIENT> shall: Establish and implement a process to ensure timely assignment of asset ownership. Assign/reassign ownership when assets are created or transferred. Assign ownership to individuals havi,2026-01-23
