Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
533.79,6.0,64.0,71977.95636848293,71977.95636848293,0.0,0.0,0.0,0.0,0.72,1.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4886.43,223.28,1218.34,519.0541062237127,343.7990930998107,399.69,101599797.56297363,9.5,31.13106505790764,486.69761444732,147905.01572893953,0.89,141.55
846.1,6.0,64.0,17945.50211259907,17945.50211259907,0.0,0.0,0.0,0.0,0.44,1.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3501.03,116.14,946.2,338.76395695979284,267.54876989570005,347.22,84666497.96986328,9.5,24.389155093926103,377.68961350612886,105837.56017034946,0.83,141.55
1027.48,6.0,64.0,858.5931785406034,858.5931785406034,0.0,0.0,0.0,0.0,0.68,1.0,0.0,0.0,0.0,0.0,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3515.62,212.06,712.03,337.1328627289893,171.01420931407446,332.58,84666497.97034998,9.5,24.784052732321182,240.5406535490922,53685.4594651946,0.77,141.55
1254.87,6.0,64.0,120.5861788609557,120.5861788609557,0.0,0.0,0.0,0.0,0.56,1.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2555.81,149.93,494.37,236.91035015174032,111.20805572329682,248.03,84666497.97101612,9.5,20.66161185472783,155.4495698524493,21929.125229486828,0.68,141.55
1771.02,6.0,64.0,122.45718349915734,122.45718349915734,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,5.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3587.62,109.6,804.82,332.7560511509904,246.5272414681208,338.97,84666497.97132629,9.5,23.247547721849752,348.40695283406995,104418.4078645988,0.62,141.55
2543.74,6.0,64.0,123.41019377145324,123.41019377145324,0.0,0.0,0.0,0.0,0.94,1.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6427.4,293.03,1363.14,630.524009693351,325.8278827512302,617.54,84666497.97185908,9.5,35.15541805589324,460.0012674878615,120290.3680518878,0.94,141.55
2880.85,6.0,64.0,116.60441775325984,116.60441775325984,0.0,0.0,0.0,0.0,0.97,1.0,0.0,0.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4819.71,248.03,879.1,438.0218873958858,199.07032980904307,484.09,84666497.97233278,9.5,29.18833474800333,279.76188906949415,57312.267861948014,0.94,141.55
3506.06,6.0,64.0,110.3799292139046,110.3799292139046,0.0,0.0,0.0,0.0,0.96,1.0,0.0,0.0,0.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5936.01,295.52,1063.75,581.7929286859941,276.29771900448947,521.62,84666497.97298385,9.5,33.62120743955515,390.9290073492791,107248.89975430984,0.93,141.55
4751.15,6.0,64.0,108.96501196622084,108.96501196622084,0.0,0.0,0.0,0.0,0.96,1.0,0.0,0.0,0.0,0.0,0.0,9.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4719.52,239.71,1078.44,460.7158616931314,255.1120403484925,450.94,84666497.97377813,9.5,30.053350322215028,360.15963329200747,78985.17635768284,0.95,141.55
3623.25,6.0,64.0,99.83759383483884,99.83759383483884,0.0,0.0,0.0,0.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,9.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2663.72,171.73,568.49,263.99965096066643,115.13175535448318,239.31,84666497.97409266,9.5,21.333450463717,162.86967120243486,36323.41665667828,0.45,141.55
